id,hora,pista,grup,equip_local,equip_visitant,punts_local,punts_visitant,tl,scored id
g1,13:00,1,A,Bàsquet Sitges,Veterans Girona,,,,
g2,13:00,2,B,S.D. Espanyol,Tehran,,,,
g3,13:30,1,A,Valencia Basket,Veterans del Sedis,,,,
g4,13:30,2,B,MVPs,Veterans FC Barcelona,,,,
g5,14:00,1,A,Bàsquet Sitges,No Surrender Towers,,,,
g6,14:00,2,B,S.D. Espanyol,French Connection,,,,
g7,14:30,1,A,Veterans del Sedis,Veterans Girona,,,,
g8,14:30,2,B,Tehran,MVPs,,,,
g9,15:00,1,A,No Surrender Towers,Valencia Basket,,,,
g10,15:00,2,B,Veterans FC Barcelona,French Connection,,,,
g11,15:30,1,A,Bàsquet Sitges,Veterans del Sedis,,,,
g12,15:30,2,B,S.D. Espanyol,MVPs,,,,
g13,16:00,1,A,Veterans Girona,No Surrender Towers,,,,
g14,16:00,2,B,Tehran,French Connection,,,,
g15,16:30,1,A,Valencia Basket,Bàsquet Sitges,,,,
g16,16:30,2,B,Veterans FC Barcelona,S.D. Espanyol,,,,
g17,17:00,1,A,Veterans del Sedis,No Surrender Towers,,,,
g18,17:00,2,B,MVPs,French Connection,,,,
g19,17:30,1,A,Veterans Girona,Valencia Basket,,,,
g20,17:30,2,B,Veterans FC Barcelona,Tehran,,,,
sf1,19:15,1,,1r Grup A,2n Grup B,,,,
sf2,19:15,2,,1r Grup B,2n Grup A,,,,
final,19:45,,,Guanyador Semifinal 1,Guanyador Semifinal 2,,,,
